IDVenta,IDFecha,Fecha,IDProducto,IDCliente,IDVendedor,Cantidad,PrecioUnitario,Descuento,MontoTotal,CostoTotal
350,20231002,2023-10-02,1006,2046,33,158,7.59,0.0,1199.22,632.0
351,20231002,2023-10-02,1010,2053,32,157,53.43,0.13,7298.0,2826.0
352,20231003,2023-10-03,1007,2046,37,32,6.26,0.0,200.32,112.0
353,20231005,2023-10-05,1005,2042,30,16,14.0,0.0,224.0,120.0
354,20231006,2023-10-06,1006,2004,31,56,7.89,0.08,406.49,224.0
355,20231009,2023-10-09,1007,2046,31,179,6.26,0.0,1120.54,626.5
356,20231011,2023-10-11,1003,2021,36,23,19.84,0.0,456.32,276.0
357,20231013,2023-10-13,1007,2024,36,410,6.45,0.0,2644.5,1435.0
358,20231013,2023-10-13,1006,2011,35,67,6.69,0.0,448.23,268.0
359,20231014,2023-10-14,1015,2024,35,7,98.76,0.0,691.32,280.0
360,20231014,2023-10-14,1011,2030,34,12,80.09,0.0,961.08,420.0
361,20231014,2023-10-14,1005,2024,35,78,14.07,0.0,1097.46,585.0
362,20231017,2023-10-17,1005,2008,35,114,15.2,0.09,1576.85,855.0
363,20231020,2023-10-20,1006,2050,33,51,6.89,0.01,347.88,204.0
364,20231021,2023-10-21,1002,2050,33,85,17.99,0.0,1529.15,807.5
365,20231021,2023-10-21,1007,2034,33,176,6.09,0.0,1071.84,616.0
366,20231022,2023-10-22,1004,2017,33,30,18.36,0.0,550.8,300.0
367,20231024,2023-10-24,1019,2052,37,170,32.57,0.12,4872.47,2720.0
368,20231024,2023-10-24,1005,2031,36,289,12.77,0.0,3690.53,2167.5
369,20231025,2023-10-25,1015,2036,33,40,84.95,0.0,3398.0,1600.0
370,20231026,2023-10-26,1019,2031,36,187,33.2,0.09,5649.64,2992.0
371,20231027,2023-10-27,1003,2008,37,84,23.18,0.08,1791.35,1008.0
372,20231027,2023-10-27,1006,2021,36,39,8.23,0.02,314.55,156.0
373,20231030,2023-10-30,1007,2045,36,20,6.24,0.03,121.06,70.0
374,20231031,2023-10-31,1019,2043,33,18,33.24,0.11,532.5,288.0
375,20231101,2023-11-01,1001,2034,37,25,14.84,0.01,367.29,200.0
376,20231102,2023-11-02,1001,2031,30,102,16.01,0.06,1535.04,816.0
377,20231102,2023-11-02,1006,2008,30,21,7.36,0.0,154.56,84.0
378,20231103,2023-11-03,1015,2029,34,13,93.49,0.0,1215.37,520.0
379,20231103,2023-11-03,1002,2060,34,339,18.5,0.12,5518.92,3220.5
380,20231103,2023-11-03,1016,2029,30,6,47.62,0.0,285.72,120.0
381,20231106,2023-11-06,1015,2008,37,12,99.08,0.0,1188.96,480.0
382,20231108,2023-11-08,1019,2022,30,29,33.98,0.0,985.42,464.0
383,20231108,2023-11-08,1013,2031,33,46,66.94,0.04,2956.07,1288.0
384,20231109,2023-11-09,1002,2024,33,106,18.9,0.0,2003.4,1007.0
385,20231113,2023-11-13,1018,2043,36,180,12.45,0.12,1972.08,1080.0
386,20231114,2023-11-14,1004,2021,37,20,18.48,0.0,369.6,200.0
387,20231114,2023-11-14,1006,2046,34,36,7.7,0.03,268.88,144.0
388,20231115,2023-11-15,1001,2005,33,20,16.23,0.0,324.6,160.0
389,20231116,2023-11-16,1006,2004,34,373,7.38,0.0,2752.74,1492.0
390,20231116,2023-11-16,1007,2027,34,41,5.71,0.0,234.11,143.5
391,20231117,2023-11-17,1001,2060,33,80,14.46,0.03,1122.1,640.0
392,20231117,2023-11-17,1009,2011,32,34,26.01,0.0,884.34,408.0
393,20231117,2023-11-17,1006,2004,36,144,7.14,0.0,1028.16,576.0
394,20231117,2023-11-17,1004,2008,33,22,17.15,0.0,377.3,220.0
395,20231118,2023-11-18,1006,2046,37,41,6.92,0.0,283.72,164.0
396,20231120,2023-11-20,1005,2008,36,31,14.79,0.02,449.32,232.5
397,20231121,2023-11-21,1006,2007,37,162,7.61,0.03,1195.84,648.0
398,20231121,2023-11-21,1018,2021,36,53,11.89,0.0,630.17,318.0
399,20231123,2023-11-23,1018,2022,31,98,13.81,0.0,1353.38,588.0
400,20231123,2023-11-23,1002,2050,33,94,17.88,0.0,1680.72,893.0
401,20231124,2023-11-24,1015,2025,34,42,101.59,0.04,4096.11,1680.0
402,20231124,2023-11-24,1007,2027,31,106,6.63,0.0,702.78,371.0
403,20231127,2023-11-27,1001,2024,30,27,13.58,0.0,366.66,216.0
404,20231127,2023-11-27,1015,2029,36,127,97.57,0.12,10904.42,5080.0
405,20231127,2023-11-27,1005,2024,34,22,14.48,0.0,318.56,165.0
406,20231127,2023-11-27,1018,2034,30,17,14.25,0.0,242.25,102.0
407,20231128,2023-11-28,1004,2043,37,559,21.56,0.13,10485.27,5590.0
408,20231128,2023-11-28,1001,2031,37,89,13.58,0.0,1208.62,712.0
409,20231128,2023-11-28,1005,2043,31,132,13.11,0.01,1713.21,990.0
410,20231129,2023-11-29,1001,2025,35,363,19.6,0.11,6332.17,2904.0
411,20231129,2023-11-29,1006,2004,33,37,7.71,0.0,285.27,148.0
412,20231129,2023-11-29,1018,2045,35,12,13.07,0.0,156.84,72.0
413,20231130,2023-11-30,1005,2017,33,19,14.52,0.0,275.88,142.5
414,20231130,2023-11-30,1005,2017,31,33,13.68,0.0,451.44,247.5
415,20231201,2023-12-01,1004,2025,34,834,19.26,0.0,16062.84,8340.0
416,20231202,2023-12-02,1013,2005,34,15,61.98,0.0,929.7,420.0
417,20231204,2023-12-04,1001,2020,36,225,16.2,0.09,3316.95,1800.0
418,20231204,2023-12-04,1007,2046,30,33,5.83,0.0,192.39,115.5
419,20231205,2023-12-05,1001,2042,33,23,14.26,0.08,301.74,184.0
420,20231206,2023-12-06,1005,2042,31,30,13.93,0.0,417.9,225.0
421,20231206,2023-12-06,1013,2027,30,10,63.6,0.0,636.0,280.0
422,20231207,2023-12-07,1001,2060,31,22,15.87,0.08,321.21,176.0
423,20231207,2023-12-07,1019,2022,37,11,35.3,0.04,372.77,176.0
424,20231207,2023-12-07,1007,2048,34,349,7.34,0.12,2254.26,1221.5
425,20231208,2023-12-08,1013,2030,37,8,59.91,0.03,464.9,224.0
426,20231208,2023-12-08,1019,2060,34,84,30.16,0.03,2457.44,1344.0
427,20231208,2023-12-08,1018,2022,37,9,12.64,0.0,113.76,54.0
428,20231208,2023-12-08,1009,2030,30,121,28.84,0.03,3384.95,1452.0
429,20231209,2023-12-09,1007,2046,30,56,5.97,0.0,334.32,196.0
430,20231211,2023-12-11,1015,2031,34,22,95.36,0.0,2097.92,880.0
431,20231212,2023-12-12,1018,2053,36,74,11.7,0.01,857.14,444.0
432,20231212,2023-12-12,1019,2008,37,20,35.8,0.0,716.0,320.0
433,20231212,2023-12-12,1002,2008,31,14,17.79,0.0,249.06,133.0
434,20231212,2023-12-12,1001,2060,37,83,16.04,0.02,1304.69,664.0
435,20231213,2023-12-13,1017,2027,37,43,35.39,0.0,1521.77,645.0
436,20231213,2023-12-13,1015,2029,33,35,85.24,0.0,2983.4,1400.0
437,20231213,2023-12-13,1004,2051,30,93,19.8,0.14,1583.6,930.0
438,20231213,2023-12-13,1004,2024,31,30,21.1,0.08,582.36,300.0
439,20231215,2023-12-15,1007,2011,30,45,6.47,0.0,291.15,157.5
440,20231215,2023-12-15,1015,2029,33,40,96.18,0.01,3808.73,1600.0
441,20231215,2023-12-15,1009,2042,33,46,30.06,0.0,1382.76,552.0
442,20231215,2023-12-15,1004,2021,37,105,19.11,0.02,1966.42,1050.0
443,20231218,2023-12-18,1006,2046,33,63,7.24,0.06,428.75,252.0
444,20231218,2023-12-18,1016,2029,37,6,41.71,0.0,250.26,120.0
445,20231219,2023-12-19,1001,2044,37,20,15.6,0.03,302.64,160.0
446,20231220,2023-12-20,1001,2051,35,31,14.79,0.0,458.49,248.0
447,20231221,2023-12-21,1005,2060,32,357,14.01,0.03,4851.52,2677.5
448,20231222,2023-12-22,1015,2054,33,42,84.62,0.0,3554.04,1680.0
449,20231222,2023-12-22,1019,2022,33,18,32.83,0.0,590.94,288.0
450,20231222,2023-12-22,1007,2027,30,187,6.12,0.02,1121.55,654.5
451,20231225,2023-12-25,1017,2026,37,24,39.46,0.0,947.04,360.0
452,20231226,2023-12-26,1015,2025,34,23,97.15,0.0,2234.45,920.0
453,20231226,2023-12-26,1015,2053,33,11,79.13,0.0,870.43,440.0
454,20231226,2023-12-26,1018,2024,36,12,13.62,0.0,163.44,72.0
455,20231226,2023-12-26,1002,2051,30,365,21.88,0.1,7187.58,3467.5
456,20231227,2023-12-27,1015,2031,33,7,83.95,0.0,587.65,280.0
457,20231227,2023-12-27,1001,2018,31,32,15.91,0.1,458.21,256.0
458,20231228,2023-12-28,1005,2051,35,19,14.71,0.0,279.49,142.5
459,20231228,2023-12-28,1004,2020,33,281,18.6,0.04,5017.54,2810.0
460,20231229,2023-12-29,1006,2046,35,46,6.31,0.01,287.36,184.0
461,20231229,2023-12-29,1019,2060,37,19,29.4,0.0,558.6,304.0
462,20231229,2023-12-29,1006,2008,36,89,6.83,0.0,607.87,356.0
463,20231230,2023-12-30,1006,2046,33,114,6.82,0.08,715.28,456.0
464,20240101,2024-01-01,1005,2060,35,249,12.62,0.0,3142.38,1867.5
465,20240102,2024-01-02,1007,2046,31,32,6.6,0.08,194.3,112.0
466,20240102,2024-01-02,1015,2025,31,26,88.45,0.01,2276.7,1040.0
467,20240102,2024-01-02,1015,2059,33,109,114.69,0.12,11001.06,4360.0
468,20240103,2024-01-03,1020,2008,37,55,36.42,0.0,2003.1,1045.0
469,20240106,2024-01-06,1007,2046,33,47,6.6,0.0,310.2,164.5
470,20240108,2024-01-08,1007,2011,33,126,6.89,0.0,868.14,441.0
471,20240108,2024-01-08,1013,2060,31,54,65.38,0.0,3530.52,1512.0
472,20240108,2024-01-08,1007,2046,33,86,7.09,0.02,597.55,301.0
473,20240108,2024-01-08,1001,2031,36,86,16.78,0.1,1298.77,688.0
474,20240108,2024-01-08,1002,2034,34,118,20.79,0.14,2109.77,1121.0
475,20240110,2024-01-10,1018,2034,34,24,11.54,0.0,276.96,144.0
476,20240111,2024-01-11,1018,2021,32,11,12.55,0.0,138.05,66.0
477,20240111,2024-01-11,1013,2017,35,41,78.99,0.09,2947.12,1148.0
478,20240112,2024-01-12,1018,2058,37,13,13.47,0.0,175.11,78.0
479,20240115,2024-01-15,1015,2029,31,8,95.41,0.0,763.28,320.0
480,20240115,2024-01-15,1013,2053,36,7,62.76,0.0,439.32,196.0
481,20240115,2024-01-15,1007,2046,36,30,6.35,0.0,190.5,105.0
482,20240115,2024-01-15,1006,2011,32,97,7.72,0.09,681.44,388.0
483,20240116,2024-01-16,1002,2010,35,43,20.55,0.04,848.3,408.5
484,20240117,2024-01-17,1002,2021,37,28,18.6,0.01,515.59,266.0
485,20240118,2024-01-18,1013,2008,30,12,66.27,0.0,795.24,336.0
486,20240118,2024-01-18,1018,2058,34,240,16.74,0.08,3696.19,1440.0
487,20240119,2024-01-19,1009,2031,36,25,30.12,0.09,685.23,300.0
488,20240121,2024-01-21,1004,2043,33,25,18.56,0.0,464.0,250.0
489,20240122,2024-01-22,1020,2022,33,91,36.78,0.03,3246.57,1729.0
490,20240122,2024-01-22,1004,2020,37,95,19.65,0.06,1754.74,950.0
491,20240124,2024-01-24,1001,2005,30,92,15.54,0.0,1429.68,736.0
492,20240125,2024-01-25,1015,2051,34,9,102.15,0.0,919.35,360.0
493,20240125,2024-01-25,1006,2046,33,24,6.61,0.0,158.64,96.0
494,20240126,2024-01-26,1013,2053,36,7,76.63,0.11,477.4,196.0
495,20240130,2024-01-30,1020,2058,31,27,44.03,0.0,1188.81,513.0
496,20240130,2024-01-30,1009,2031,36,354,32.91,0.06,10951.13,4248.0
497,20240131,2024-01-31,1002,2053,30,121,18.42,0.04,2139.67,1149.5
498,20240131,2024-01-31,1019,2022,34,18,36.53,0.0,657.54,288.0
499,20240201,2024-02-01,1019,2034,35,12,32.99,0.0,395.88,192.0
500,20240202,2024-02-02,1002,2024,32,35,18.56,0.0,649.6,332.5
501,20240202,2024-02-02,1020,2024,37,27,45.16,0.0,1219.32,513.0
502,20240203,2024-02-03,1002,2021,30,44,17.34,0.02,747.7,418.0
503,20240205,2024-02-05,1008,2024,37,53,9.16,0.04,466.06,238.5
504,20240205,2024-02-05,1007,2046,31,50,6.44,0.04,309.12,175.0
505,20240205,2024-02-05,1005,2008,36,19,15.09,0.02,280.98,142.5
506,20240206,2024-02-06,1003,2033,37,19,21.42,0.0,406.98,228.0
507,20240206,2024-02-06,1006,2046,36,54,8.35,0.0,450.9,216.0
508,20240207,2024-02-07,1005,2008,31,35,14.95,0.0,523.25,262.5
509,20240208,2024-02-08,1015,2034,34,43,98.04,0.0,4215.72,1720.0
510,20240208,2024-02-08,1019,2058,30,205,32.21,0.0,6603.05,3280.0
511,20240208,2024-02-08,1007,2046,33,113,6.5,0.0,734.5,395.5
512,20240209,2024-02-09,1007,2046,33,37,6.32,0.0,233.84,129.5
513,20240210,2024-02-10,1002,2053,35,376,17.7,0.05,6322.44,3572.0
514,20240212,2024-02-12,1011,2033,36,67,92.36,0.09,5631.19,2345.0
515,20240213,2024-02-13,1006,2054,31,811,7.29,0.0,5912.19,3244.0
516,20240213,2024-02-13,1006,2060,37,49,7.48,0.05,348.19,196.0
517,20240214,2024-02-14,1013,2031,36,60,68.27,0.0,4096.2,1680.0
518,20240215,2024-02-15,1019,2022,34,240,37.86,0.09,8268.62,3840.0
519,20240216,2024-02-16,1006,2038,34,121,8.01,0.03,940.13,484.0
520,20240220,2024-02-20,1004,2023,36,45,19.73,0.0,887.85,450.0
521,20240221,2024-02-21,1004,2024,31,18,17.82,0.0,320.76,180.0
522,20240221,2024-02-21,1020,2058,37,187,43.32,0.08,7452.77,3553.0
523,20240223,2024-02-23,1004,2024,33,22,18.89,0.02,407.27,220.0
524,20240223,2024-02-23,1007,2043,30,123,5.83,0.0,717.09,430.5
525,20240226,2024-02-26,1016,2027,37,6,44.13,0.0,264.78,120.0
526,20240227,2024-02-27,1013,2008,30,8,61.27,0.0,490.16,224.0
527,20240227,2024-02-27,1001,2060,37,350,16.7,0.12,5143.6,2800.0
528,20240227,2024-02-27,1009,2030,31,33,27.93,0.0,921.69,396.0
529,20240227,2024-02-27,1009,2027,32,18,29.57,0.0,532.26,216.0
530,20240228,2024-02-28,1003,2021,32,80,22.69,0.0,1815.2,960.0
531,20240229,2024-02-29,1013,2030,36,8,64.2,0.0,513.6,224.0
532,20240229,2024-02-29,1015,2029,32,8,106.22,0.0,849.76,320.0
533,20240301,2024-03-01,1016,2035,37,8,51.45,0.0,411.6,160.0
534,20240301,2024-03-01,1019,2034,32,10,38.77,0.0,387.7,160.0
535,20240301,2024-03-01,1007,2046,30,21,7.3,0.1,137.97,73.5
536,20240301,2024-03-01,1019,2005,31,13,31.93,0.0,415.09,208.0
537,20240301,2024-03-01,1003,2026,33,431,21.19,0.04,8767.57,5172.0
538,20240301,2024-03-01,1011,2026,30,5,82.53,0.0,412.65,175.0
539,20240301,2024-03-01,1019,2017,34,278,37.24,0.08,9524.5,4448.0
540,20240301,2024-03-01,1001,2024,37,19,15.38,0.0,292.22,152.0
541,20240302,2024-03-02,1007,2027,34,45,6.65,0.0,299.25,157.5
542,20240302,2024-03-02,1010,2030,33,427,52.37,0.08,20573.03,7686.0
543,20240304,2024-03-04,1002,2008,31,100,18.84,0.0,1884.0,950.0
544,20240304,2024-03-04,1013,2017,32,16,63.88,0.0,1022.08,448.0
545,20240304,2024-03-04,1002,2020,37,78,17.71,0.0,1381.38,741.0
546,20240304,2024-03-04,1013,2053,35,39,64.4,0.0,2511.6,1092.0
547,20240305,2024-03-05,1015,2027,30,9,110.93,0.11,888.55,360.0
548,20240305,2024-03-05,1007,2046,37,83,5.91,0.0,490.53,290.5
549,20240305,2024-03-05,1019,2005,35,17,36.73,0.0,624.41,272.0
550,20240305,2024-03-05,1007,2046,33,49,6.43,0.0,315.07,171.5
551,20240306,2024-03-06,1019,2053,33,65,28.7,0.01,1846.85,1040.0
552,20240307,2024-03-07,1019,2054,32,20,32.17,0.0,643.4,320.0
553,20240308,2024-03-08,1008,2027,30,23,8.53,0.07,182.46,103.5
554,20240308,2024-03-08,1006,2046,34,36,7.5,0.04,259.2,144.0
555,20240308,2024-03-08,1015,2029,30,7,90.82,0.0,635.74,280.0
556,20240308,2024-03-08,1014,2031,34,9,60.5,0.04,522.72,225.0
557,20240308,2024-03-08,1015,2008,32,5,82.88,0.0,414.4,200.0
558,20240308,2024-03-08,1005,2024,36,76,14.19,0.0,1078.44,570.0
559,20240308,2024-03-08,1003,2054,32,16,22.73,0.01,360.04,192.0
560,20240308,2024-03-08,1015,2024,36,11,100.9,0.0,1109.9,440.0
561,20240309,2024-03-09,1019,2027,30,90,39.45,0.0,3550.5,1440.0
562,20240311,2024-03-11,1019,2047,30,143,33.32,0.09,4335.93,2288.0
563,20240311,2024-03-11,1002,2050,34,17,17.42,0.04,284.29,161.5
564,20240311,2024-03-11,1019,2058,34,71,33.05,0.0,2346.55,1136.0
565,20240311,2024-03-11,1007,2031,31,410,6.82,0.08,2572.5,1435.0
566,20240311,2024-03-11,1004,2031,34,120,17.37,0.0,2084.4,1200.0
567,20240311,2024-03-11,1006,2046,37,64,7.05,0.0,451.2,256.0
568,20240311,2024-03-11,1013,2007,33,125,62.36,0.05,7405.25,3500.0
569,20240311,2024-03-11,1019,2058,33,176,35.62,0.04,6018.36,2816.0
570,20240312,2024-03-12,1002,2043,30,69,17.53,0.0,1209.57,655.5
571,20240312,2024-03-12,1002,2008,37,16,19.48,0.0,311.68,152.0
572,20240312,2024-03-12,1002,2021,36,18,16.81,0.0,302.58,171.0
573,20240313,2024-03-13,1003,2060,34,30,26.98,0.09,736.55,360.0
574,20240313,2024-03-13,1007,2060,36,46,5.54,0.0,254.84,161.0
575,20240313,2024-03-13,1019,2022,35,33,34.53,0.0,1139.49,528.0
576,20240314,2024-03-14,1019,2047,31,59,40.23,0.08,2183.68,944.0
577,20240316,2024-03-16,1005,2034,33,31,15.25,0.0,472.75,232.5
578,20240317,2024-03-17,1002,2021,35,30,20.33,0.0,609.9,285.0
579,20240318,2024-03-18,1007,2014,33,135,6.61,0.0,892.35,472.5
580,20240318,2024-03-18,1002,2008,34,14,17.72,0.0,248.08,133.0
581,20240319,2024-03-19,1006,2046,36,196,6.75,0.0,1323.0,784.0
582,20240319,2024-03-19,1019,2047,36,168,35.85,0.01,5962.57,2688.0
583,20240319,2024-03-19,1009,2024,32,16,33.16,0.0,530.56,192.0
584,20240319,2024-03-19,1015,2008,30,8,95.1,0.0,760.8,320.0
585,20240319,2024-03-19,1001,2034,30,36,14.12,0.0,508.32,288.0
586,20240320,2024-03-20,1004,2034,35,12,20.2,0.05,230.28,120.0
587,20240320,2024-03-20,1005,2021,32,25,15.28,0.0,382.0,187.5
588,20240320,2024-03-20,1002,2060,32,821,16.72,0.07,12766.22,7799.5
589,20240321,2024-03-21,1002,2011,36,79,17.04,0.0,1346.16,750.5
590,20240321,2024-03-21,1005,2008,35,25,15.3,0.05,363.38,187.5
591,20240321,2024-03-21,1004,2036,35,28,18.69,0.0,523.32,280.0
592,20240322,2024-03-22,1016,2031,30,4,50.18,0.04,192.69,80.0
593,20240322,2024-03-22,1018,2022,30,52,12.16,0.0,632.32,312.0
594,20240322,2024-03-22,1002,2044,33,108,16.67,0.02,1764.35,1026.0
595,20240322,2024-03-22,1019,2044,33,55,35.1,0.09,1756.76,880.0
596,20240325,2024-03-25,1004,2021,36,25,19.33,0.04,463.92,250.0
597,20240325,2024-03-25,1015,2029,30,12,99.8,0.03,1161.67,480.0
598,20240325,2024-03-25,1009,2053,36,29,27.84,0.06,758.92,348.0
599,20240325,2024-03-25,1011,2031,35,50,87.36,0.07,4062.24,1750.0
600,20240326,2024-03-26,1004,2024,37,289,18.56,0.0,5363.84,2890.0
601,20240326,2024-03-26,1015,2024,34,7,85.43,0.0,598.01,280.0
602,20240326,2024-03-26,1009,2013,33,40,31.59,0.0,1263.6,480.0
603,20240326,2024-03-26,1014,2031,37,102,62.22,0.13,5521.4,2550.0
604,20240326,2024-03-26,1018,2047,33,170,15.18,0.14,2219.32,1020.0
605,20240326,2024-03-26,1009,2007,33,155,31.14,0.12,4247.5,1860.0
606,20240327,2024-03-27,1009,2010,31,31,27.71,0.0,859.01,372.0
607,20240327,2024-03-27,1009,2024,33,8,29.43,0.05,223.67,96.0
608,20240327,2024-03-27,1013,2011,30,43,77.75,0.0,3343.25,1204.0
609,20240328,2024-03-28,1005,2031,33,106,15.11,0.05,1521.58,795.0
610,20240328,2024-03-28,1004,2024,37,25,17.17,0.0,429.25,250.0
611,20240328,2024-03-28,1002,2034,33,110,16.67,0.0,1833.7,1045.0
612,20240329,2024-03-29,1018,2022,31,47,13.59,0.07,594.02,282.0
613,20240329,2024-03-29,1009,2021,34,40,26.51,0.0,1060.4,480.0
614,20240329,2024-03-29,1016,2031,37,21,47.39,0.01,985.24,420.0
615,20240330,2024-03-30,1007,2027,35,26,6.47,0.0,168.22,91.0
616,20240330,2024-03-30,1001,2026,30,460,14.98,0.05,6546.26,3680.0
617,20240330,2024-03-30,1019,2011,30,365,41.9,0.13,13305.34,5840.0
618,20240401,2024-04-01,1013,2013,34,56,87.75,0.0,4914.0,1568.0
619,20240401,2024-04-01,1013,2027,30,6,62.68,0.0,376.08,168.0
620,20240401,2024-04-01,1007,2019,34,51,6.89,0.0,351.39,178.5
621,20240402,2024-04-02,1007,2046,35,46,7.07,0.03,315.46,161.0
622,20240402,2024-04-02,1019,2034,33,482,37.88,0.08,16797.51,7712.0
623,20240402,2024-04-02,1018,2013,33,76,15.3,0.02,1139.54,456.0
624,20240403,2024-04-03,1005,2025,36,96,13.73,0.0,1318.08,720.0
625,20240403,2024-04-03,1005,2040,36,20,14.46,0.0,289.2,150.0
626,20240403,2024-04-03,1006,2046,34,42,7.08,0.03,288.44,168.0
627,20240404,2024-04-04,1010,2030,34,14,37.18,0.0,520.52,252.0
628,20240404,2024-04-04,1001,2021,34,28,16.29,0.0,456.12,224.0
629,20240404,2024-04-04,1006,2004,37,85,7.55,0.0,641.75,340.0
630,20240404,2024-04-04,1004,2024,37,107,17.3,0.03,1795.57,1070.0
631,20240404,2024-04-04,1007,2046,37,35,6.17,0.0,215.95,122.5
632,20240404,2024-04-04,1019,2047,37,59,29.59,0.03,1693.44,944.0
633,20240404,2024-04-04,1015,2008,33,9,111.66,0.13,874.3,360.0
634,20240405,2024-04-05,1019,2017,30,52,31.47,0.0,1636.44,832.0
635,20240405,2024-04-05,1007,2046,34,82,6.0,0.0,492.0,287.0
636,20240405,2024-04-05,1017,2060,32,8,37.21,0.0,297.68,120.0
637,20240406,2024-04-06,1002,2027,33,16,18.16,0.0,290.56,152.0
638,20240406,2024-04-06,1001,2021,35,23,15.55,0.03,346.92,184.0
639,20240407,2024-04-07,1013,2024,35,36,61.66,0.0,2219.76,1008.0
640,20240408,2024-04-08,1007,2038,33,410,6.34,0.04,2495.42,1435.0
641,20240408,2024-04-08,1020,2031,33,66,37.26,0.0,2459.16,1254.0
642,20240409,2024-04-09,1018,2050,36,79,12.3,0.04,932.83,474.0
643,20240409,2024-04-09,1013,2027,36,9,62.53,0.0,562.77,252.0
644,20240409,2024-04-09,1005,2011,31,122,13.06,0.04,1529.59,915.0
645,20240411,2024-04-11,1017,2024,35,11,34.21,0.02,368.78,165.0
646,20240411,2024-04-11,1011,2008,30,10,91.52,0.04,878.59,350.0
647,20240411,2024-04-11,1009,2019,31,14,28.74,0.06,378.22,168.0
648,20240411,2024-04-11,1009,2019,35,44,33.09,0.0,1455.96,528.0
649,20240412,2024-04-12,1007,2046,37,54,5.84,0.0,315.36,189.0
650,20240416,2024-04-16,1002,2008,35,21,18.64,0.0,391.44,199.5
651,20240417,2024-04-17,1001,2021,31,18,14.95,0.05,255.64,144.0
652,20240418,2024-04-18,1001,2055,31,18,17.21,0.0,309.78,144.0
653,20240418,2024-04-18,1012,2060,35,49,46.84,0.0,2295.16,1078.0
654,20240419,2024-04-19,1006,2046,31,55,7.45,0.01,405.65,220.0
655,20240419,2024-04-19,1001,2024,37,14,16.59,0.0,232.26,112.0
656,20240419,2024-04-19,1015,2011,32,26,103.85,0.1,2430.09,1040.0
657,20240419,2024-04-19,1018,2047,31,93,12.88,0.07,1113.99,558.0
658,20240420,2024-04-20,1007,2046,34,38,6.21,0.0,235.98,133.0
659,20240422,2024-04-22,1004,2034,30,26,20.6,0.05,508.82,260.0
660,20240422,2024-04-22,1006,2046,31,34,7.55,0.0,256.7,136.0
661,20240423,2024-04-23,1001,2060,33,13,16.89,0.0,219.57,104.0
662,20240423,2024-04-23,1019,2057,37,53,37.61,0.01,1973.4,848.0
663,20240423,2024-04-23,1018,2022,33,21,11.85,0.0,248.85,126.0
664,20240424,2024-04-24,1002,2034,34,29,16.63,0.05,458.16,275.5
665,20240424,2024-04-24,1015,2021,30,6,82.77,0.0,496.62,240.0
666,20240425,2024-04-25,1013,2024,34,16,77.74,0.0,1243.84,448.0
667,20240425,2024-04-25,1013,2016,35,110,73.48,0.0,8082.8,3080.0
668,20240425,2024-04-25,1009,2016,34,40,37.19,0.0,1487.6,480.0
669,20240425,2024-04-25,1002,2043,35,85,21.16,0.13,1564.78,807.5
670,20240425,2024-04-25,1017,2035,30,19,32.83,0.0,623.77,285.0
671,20240425,2024-04-25,1005,2019,33,27,14.4,0.02,381.02,202.5
672,20240426,2024-04-26,1001,2036,32,122,14.34,0.0,1749.48,976.0
673,20240426,2024-04-26,1002,2008,31,81,17.29,0.0,1400.49,769.5
674,20240427,2024-04-27,1002,2031,34,116,17.19,0.0,1994.04,1102.0
675,20240427,2024-04-27,1019,2034,31,15,37.04,0.0,555.6,240.0
676,20240429,2024-04-29,1005,2008,36,39,16.01,0.0,624.39,292.5
677,20240429,2024-04-29,1006,2046,30,126,7.99,0.0,1006.74,504.0
678,20240429,2024-04-29,1001,2025,30,77,15.26,0.0,1175.02,616.0
679,20240429,2024-04-29,1002,2008,34,20,16.5,0.0,330.0,190.0
680,20240429,2024-04-29,1001,2021,30,35,13.85,0.0,484.75,280.0
681,20240430,2024-04-30,1010,2031,36,55,40.26,0.0,2214.3,990.0
682,20240502,2024-05-02,1006,2046,34,31,8.11,0.03,243.87,124.0
683,20240502,2024-05-02,1005,2040,33,22,15.4,0.0,338.8,165.0
684,20240502,2024-05-02,1004,2023,31,93,21.62,0.05,1910.13,930.0
685,20240502,2024-05-02,1013,2051,37,26,81.87,0.05,2022.19,728.0
686,20240502,2024-05-02,1019,2031,36,23,34.39,0.0,790.97,368.0
687,20240502,2024-05-02,1015,2019,36,45,85.86,0.0,3863.7,1800.0
688,20240503,2024-05-03,1020,2013,30,135,41.56,0.14,4825.12,2565.0
689,20240503,2024-05-03,1004,2019,35,88,18.2,0.0,1601.6,880.0
690,20240506,2024-05-06,1002,2015,33,37,20.35,0.1,677.66,351.5
691,20240507,2024-05-07,1002,2034,32,86,19.23,0.0,1653.78,817.0
692,20240509,2024-05-09,1005,2008,30,28,12.91,0.0,361.48,210.0
693,20240510,2024-05-10,1001,2005,31,13,16.2,0.0,210.6,104.0
694,20240513,2024-05-13,1002,2008,37,157,17.96,0.0,2819.72,1491.5
695,20240514,2024-05-14,1018,2034,33,19,11.42,0.02,212.64,114.0
696,20240514,2024-05-14,1006,2046,34,65,6.92,0.0,449.8,260.0
697,20240514,2024-05-14,1019,2007,35,17,35.53,0.0,604.01,272.0
698,20240514,2024-05-14,1003,2024,30,102,20.05,0.0,2045.1,1224.0
699,20240514,2024-05-14,1020,2017,36,76,36.85,0.0,2800.6,1444.0
700,20240514,2024-05-14,1019,2017,33,13,28.3,0.0,367.9,208.0
